request_url	status_code	time_spent	request_method	request_host	request_port	request_path	request_query_params	request_content_type	request_http_version	response_content_type	response_content_length	server_header	clientip_port	serverip_port	tls_version	cipher
https://api.github.com/_private/browser/stats	200	0.244509	POST	api.github.com	443	/_private/browser/stats	MultiDictView[]	text/plain;charset=UTF-8	HTTP/2.0	text/plain	0	github.com	('127.0.0.1', 59078)	('api.github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://api.github.com/_private/browser/stats	200	0.26117	POST	api.github.com	443	/_private/browser/stats	MultiDictView[]	text/plain;charset=UTF-8	HTTP/2.0	text/plain	0	github.com	('127.0.0.1', 59078)	('api.github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://collector.github.com/github/collect	204	0.251607	POST	collector.github.com	443	/github/collect	MultiDictView[]	text/plain;charset=UTF-8	HTTP/2.0		0		('127.0.0.1', 59092)	('collector.github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://collector.github.com/github/collect	204	0.25538	POST	collector.github.com	443	/github/collect	MultiDictView[]	text/plain;charset=UTF-8	HTTP/2.0		0		('127.0.0.1', 59092)	('collector.github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://github.com/github-copilot/chat/entitlement	304	0.317198	GET	github.com	443	/github-copilot/chat/entitlement	MultiDictView[]	application/json	HTTP/2.0		0	github.com	('127.0.0.1', 59072)	('github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream	200	0.446	POST	mobile.events.data.microsoft.com	443	/OneCollector/1.0?cors=true&content-type=application/x-json-stream	MultiDictView[('cors', 'true'), ('content-type', 'application/x-json-stream')]	application/json	HTTP/2.0	application/json	9	Microsoft-HTTPAPI/2.0	('127.0.0.1', 54409)	('mobile.events.data.microsoft.com', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
https://functional.events.data.microsoft.com/OneCollector/1.0/	200	1.275246	POST	functional.events.data.microsoft.com	443	/OneCollector/1.0/	MultiDictView[]	application/bond-compact-binary	HTTP/2.0	application/json	9	Microsoft-HTTPAPI/2.0	('127.0.0.1', 59090)	('functional.events.data.microsoft.com', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
https://nav-edge.smartscreen.microsoft.com/api/browser/edge/navigate/3	200	0.090166	POST	nav-edge.smartscreen.microsoft.com	443	/api/browser/edge/navigate/3	MultiDictView[]	application/json; charset=utf-8	HTTP/2.0	application/json; charset=utf-8	840	Kestrel	('127.0.0.1', 59074)	('nav-edge.smartscreen.microsoft.com', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
https://functional.events.data.microsoft.com/OneCollector/1.0/	200	1.301887	POST	functional.events.data.microsoft.com	443	/OneCollector/1.0/	MultiDictView[]	application/bond-compact-binary	HTTP/2.0	application/json	9	Microsoft-HTTPAPI/2.0	('127.0.0.1', 59090)	('functional.events.data.microsoft.com', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream	200	0.295229	POST	mobile.events.data.microsoft.com	443	/OneCollector/1.0?cors=true&content-type=application/x-json-stream	MultiDictView[('cors', 'true'), ('content-type', 'application/x-json-stream')]	application/json	HTTP/2.0	application/json	9	Microsoft-HTTPAPI/2.0	('127.0.0.1', 54409)	('mobile.events.data.microsoft.com', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
https://github.com/madhavkr1506	200	0.729636	GET	github.com	443	/madhavkr1506	MultiDictView[]		HTTP/2.0	text/html; charset=utf-8	337852	github.com	('127.0.0.1', 59072)	('github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://api.github.com/_private/browser/stats	200	0.27362	POST	api.github.com	443	/_private/browser/stats	MultiDictView[]	text/plain;charset=UTF-8	HTTP/2.0	text/plain	0	github.com	('127.0.0.1', 59078)	('api.github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://functional.events.data.microsoft.com/OneCollector/1.0/	200	0.945445	POST	functional.events.data.microsoft.com	443	/OneCollector/1.0/	MultiDictView[]	application/bond-compact-binary	HTTP/2.0	application/json	9	Microsoft-HTTPAPI/2.0	('127.0.0.1', 59090)	('functional.events.data.microsoft.com', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
https://github.com/notifications/indicator	304	0.291049	GET	github.com	443	/notifications/indicator	MultiDictView[]		HTTP/2.0		0	github.com	('127.0.0.1', 59072)	('github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://github.com/madhavkr1506?action=show&controller=profiles&tab=contributions&user_id=madhavkr1506	200	0.606954	GET	github.com	443	/madhavkr1506?action=show&controller=profiles&tab=contributions&user_id=madhavkr1506	MultiDictView[('action', 'show'), ('controller', 'profiles'), ('tab', 'contributions'), ('user_id', 'madhavkr1506')]		HTTP/2.0	text/html; charset=utf-8	241028	github.com	('127.0.0.1', 59072)	('github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://camo.githubusercontent.com/fa5e2107ceb1b273bc86afe79661a0b6e5dde292620a33ba0ca0de65ffce92ce/68747470733a2f2f6b6f6d617265762e636f6d2f67687076632f3f757365726e616d653d6d61646861766b7231353036266c6162656c3d50726f66696c65253230766965777326636f6c6f723d306537356236267374796c653d666c6174	200	0.828367	GET	camo.githubusercontent.com	443	/fa5e2107ceb1b273bc86afe79661a0b6e5dde292620a33ba0ca0de65ffce92ce/68747470733a2f2f6b6f6d617265762e636f6d2f67687076632f3f757365726e616d653d6d61646861766b7231353036266c6162656c3d50726f66696c65253230766965777326636f6c6f723d306537356236267374796c653d666c6174	MultiDictView[]		HTTP/2.0	image/svg+xml	914	github.com	('127.0.0.1', 59084)	('camo.githubusercontent.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://github.com/github-copilot/chat?skip_anchor=true	304	0.371254	GET	github.com	443	/github-copilot/chat?skip_anchor=true	MultiDictView[('skip_anchor', 'true')]		HTTP/2.0		0	github.com	('127.0.0.1', 59072)	('github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://collector.github.com/github/collect	204	0.517911	POST	collector.github.com	443	/github/collect	MultiDictView[]	text/plain;charset=UTF-8	HTTP/2.0		0		('127.0.0.1', 59092)	('collector.github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://api.github.com/_private/browser/stats	200	0.341848	POST	api.github.com	443	/_private/browser/stats	MultiDictView[]	text/plain;charset=UTF-8	HTTP/2.0	text/plain	0	github.com	('127.0.0.1', 59078)	('api.github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://functional.events.data.microsoft.com/OneCollector/1.0/	200	1.40672	POST	functional.events.data.microsoft.com	443	/OneCollector/1.0/	MultiDictView[]	application/bond-compact-binary	HTTP/2.0	application/json	9	Microsoft-HTTPAPI/2.0	('127.0.0.1', 59090)	('functional.events.data.microsoft.com', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
https://github.com/github-copilot/chat/entitlement	304	0.360535	GET	github.com	443	/github-copilot/chat/entitlement	MultiDictView[]	application/json	HTTP/2.0		0	github.com	('127.0.0.1', 59072)	('github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://alive.github.com/_sockets/u/117391373/ws?session=eyJ2IjoiVjMiLCJ1IjoxMTczOTEzNzMsInMiOjE3MDUyMDU5OTMsImMiOjIzNTM5MjY0ODksInQiOjE3NTQ1MzIyMTN9--2fdcc496c1f5c041dcb5665ba70541aed0a0416dfe21b5e1c622e6620b26d16d&shared=true&p=324860738_1754532212.0	101	0.522052	GET	alive.github.com	443	/_sockets/u/117391373/ws?session=eyJ2IjoiVjMiLCJ1IjoxMTczOTEzNzMsInMiOjE3MDUyMDU5OTMsImMiOjIzNTM5MjY0ODksInQiOjE3NTQ1MzIyMTN9--2fdcc496c1f5c041dcb5665ba70541aed0a0416dfe21b5e1c622e6620b26d16d&shared=true&p=324860738_1754532212.0	MultiDictView[('session', 'eyJ2IjoiVjMiLCJ1IjoxMTczOTEzNzMsInMiOjE3MDUyMDU5OTMsImMiOjIzNTM5MjY0ODksInQiOjE3NTQ1MzIyMTN9--2fdcc496c1f5c041dcb5665ba70541aed0a0416dfe21b5e1c622e6620b26d16d'), ('shared', 'true'), ('p', '324860738_1754532212.0')]		HTTP/1.1		0	github.com	('127.0.0.1', 59094)	('alive.github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream	200	0.385808	POST	mobile.events.data.microsoft.com	443	/OneCollector/1.0?cors=true&content-type=application/x-json-stream	MultiDictView[('cors', 'true'), ('content-type', 'application/x-json-stream')]	application/json	HTTP/2.0	application/json	9	Microsoft-HTTPAPI/2.0	('127.0.0.1', 54409)	('mobile.events.data.microsoft.com', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream	200	0.265138	POST	mobile.events.data.microsoft.com	443	/OneCollector/1.0?cors=true&content-type=application/x-json-stream	MultiDictView[('cors', 'true'), ('content-type', 'application/x-json-stream')]	application/json	HTTP/2.0	application/json	9	Microsoft-HTTPAPI/2.0	('127.0.0.1', 54409)	('mobile.events.data.microsoft.com', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
https://api.github.com/_private/browser/stats	200	0.431396	POST	api.github.com	443	/_private/browser/stats	MultiDictView[]	text/plain;charset=UTF-8	HTTP/2.0	text/plain	0	github.com	('127.0.0.1', 59078)	('api.github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
